Waterbody OGF ID,Zone Number,Species,Species French,Season,Season French,Limit,Limit French,Size Limit Only,Size Limit Only French,Waterbody Description,Waterbody Description French,Effective Date,Expiry Date
125207727,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"S - 5, no size limits","S - 5, aucune limite de taille",No size limits,Aucune limite de taille,"Blue Lake (50°20'04""N., 88°56'56""W.)","Lac Blue (50° 20' 04""N., 88° 56' 56""O.)",01/01/2022,12/31/2022
125207727,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"C - 2, no size limits","C - 2, aucune limite de taille",No size limits,Aucune limite de taille,"Blue Lake (50°20'04""N., 88°56'56""W.)","Lac Blue (50° 20' 04""N., 88° 56' 56""O.)",01/01/2022,12/31/2022
125207728,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"S - 5, no size limits","S - 5, aucune limite de taille",No size limits,Aucune limite de taille,"E-206 Lake (50°22'34""N., 86°23'37""W.)","Lac E-206 (50° 22' 34""N., 86° 23' 37""O.)",01/01/2022,12/31/2022
125207728,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"C - 2, no size limits","C - 2, aucune limite de taille",No size limits,Aucune limite de taille,"E-206 Lake (50°22'34""N., 86°23'37""W.)","Lac E-206 (50° 22' 34""N., 86° 23' 37""O.)",01/01/2022,12/31/2022
125207729,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"S - 5, no size limits","S - 5, aucune limite de taille",No size limits,Aucune limite de taille,"Johnny Lake (50°17'35""N., 87°02'52""W.) - Rupert Township","Lac Johnny (50° 17' 35""N., 87° 02' 52""O.) - canton de Rupert",01/01/2022,12/31/2022
125207729,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"C - 2, no size limits","C - 2, aucune limite de taille",No size limits,Aucune limite de taille,"Johnny Lake (50°17'35""N., 87°02'52""W.) - Rupert Township","Lac Johnny (50° 17' 35""N., 87° 02' 52""O.) - canton de Rupert",01/01/2022,12/31/2022
125207730,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"S - 5, no size limits","S - 5, aucune limite de taille",No size limits,Aucune limite de taille,"Jo-Jo Lake (Minnow Lake) (50°10'34""N., 86°46'25""W.) - Exton Township","Lac Jo-Jo (Minnow Lake) (50° 10' 34""N., 86° 46' 25""O.) - canton d'Exton",01/01/2022,12/31/2022
125207730,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"C - 2, no size limits","C - 2, aucune limite de taille",No size limits,Aucune limite de taille,"Jo-Jo Lake (Minnow Lake) (50°10'34""N., 86°46'25""W.) - Exton Township","Lac Jo-Jo (Minnow Lake) (50° 10' 34""N., 86° 46' 25""O.) - canton d'Exton",01/01/2022,12/31/2022
125207731,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"S - 5, no size limits","S - 5, aucune limite de taille",No size limits,Aucune limite de taille,"Secret Lake (50°18'53""N., 88°58'29""W.)","Lac Secret (50° 18' 53""N., 88° 58' 29""O.)",01/01/2022,12/31/2022
125207731,2,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,"C - 2, no size limits","C - 2, aucune limite de taille",No size limits,Aucune limite de taille,"Secret Lake (50°18'53""N., 88°58'29""W.)","Lac Secret (50° 18' 53""N., 88° 58' 29""O.)",01/01/2022,12/31/2022
