Fish Sanctuary OGF ID,Latitude,Longitude,Effective Date,Expiry Date
107035322,44.6206092,-80.617684,01/01/2022,12/31/2022
107035323,44.5979374,-81.1551625,01/01/2022,12/31/2022
107035324,44.3175229,-79.2038873,01/01/2022,12/31/2022
107035325,44.5740696,-80.9602225,01/01/2022,12/31/2022
107035326,44.4917128,-80.1974811,01/01/2022,12/31/2022
107035327,44.4848586,-81.3043368,01/01/2022,12/31/2022
107035328,44.5524218,-81.2268141,01/01/2022,12/31/2022
107035329,44.5048009,-81.3317479,01/01/2022,12/31/2022
107035330,44.1420342,-81.0696195,01/01/2022,12/31/2022
107035331,44.7792915,-79.2938432,01/01/2022,12/31/2022
107035332,44.5204179,-80.2657573,01/01/2022,12/31/2022
107035333,42.8163906,-80.5078211,01/01/2022,12/31/2022
107035334,44.7245147,-79.7179981,01/01/2022,12/31/2022
107035335,44.5595974,-80.9434406,01/01/2022,12/31/2022
107035336,44.531102,-80.936766,01/01/2022,12/31/2022
107035337,44.5354995,-80.9329078,01/01/2022,12/31/2022
107035338,44.544706,-80.9365479,01/01/2022,12/31/2022
107035339,44.5589839,-80.9447037,01/01/2022,12/31/2022
107035340,44.5033118,-79.1478621,01/01/2022,12/31/2022
107035341,44.6228609,-80.8779289,01/01/2022,12/31/2022
107035342,42.8367103,-81.4285535,01/01/2022,12/31/2022
107035343,45.1575843,-81.5724155,01/01/2022,12/31/2022
107035344,42.7570425,-80.2608857,01/01/2022,12/31/2022
107035345,48.772044,-85.7657675,01/01/2022,12/31/2022
107035346,48.8018839,-85.7340984,01/01/2022,12/31/2022
107035347,44.5576378,-78.2090862,01/01/2022,12/31/2022
107035348,44.3870309,-78.3885871,01/01/2022,12/31/2022
107035349,43.9590413,-78.1819961,01/01/2022,12/31/2022
107035350,44.4834169,-77.6862166,01/01/2022,12/31/2022
107035351,44.7606937,-78.8890943,01/01/2022,12/31/2022
107035352,43.9686007,-78.2947876,01/01/2022,12/31/2022
107035353,44.4758015,-78.4509846,01/01/2022,12/31/2022
107035354,44.6497665,-78.8031979,01/01/2022,12/31/2022
107035355,44.375637,-77.7877504,01/01/2022,12/31/2022
107035356,44.4871985,-78.2335236,01/01/2022,12/31/2022
107035357,44.1035169,-78.9306081,01/01/2022,12/31/2022
107035358,44.5571967,-78.2423946,01/01/2022,12/31/2022
107035359,44.5559118,-78.3436837,01/01/2022,12/31/2022
107035360,44.53503025,-78.5343831,01/01/2022,12/31/2022
107035361,44.5335067,-78.7337637,01/01/2022,12/31/2022
107035362,44.5742083,-78.7811675,01/01/2022,12/31/2022
107035363,44.2251331,-78.3469648,01/01/2022,12/31/2022
107035364,44.300459,-78.5555562,01/01/2022,12/31/2022
107035365,44.3807571,-78.7468103,01/01/2022,12/31/2022
107035366,44.5956075,-78.9673999,01/01/2022,12/31/2022
107035367,44.3077494,-77.9569709,01/01/2022,12/31/2022
107035368,44.7393833,-76.2216992,01/01/2022,12/31/2022
107035369,44.729828,-76.1766413,01/01/2022,12/31/2022
107035370,44.8207596,-76.3965489,01/01/2022,12/31/2022
107035371,44.955475,-76.8114796,01/01/2022,12/31/2022
107035372,44.9543192,-76.5961991,01/01/2022,12/31/2022
107035373,45.0124712,-74.9600825,01/01/2022,12/31/2022
107035374,45.1816831,-76.3738005,01/01/2022,12/31/2022
107035375,44.7608806,-77.4141074,01/01/2022,12/31/2022
107035376,45.0519748,-76.2407148,01/01/2022,12/31/2022
107035377,45.0525388,-76.2513112,01/01/2022,12/31/2022
107035378,45.2879293,-76.2685311,01/01/2022,12/31/2022
107035379,44.628103,-76.3466027,01/01/2022,12/31/2022
107035380,44.6465741,-76.285073,01/01/2022,12/31/2022
107035381,44.5315665,-76.3681125,01/01/2022,12/31/2022
107035382,44.5803188,-76.3038523,01/01/2022,12/31/2022
107035383,45.1536693,-74.7096258,01/01/2022,12/31/2022
107035384,44.6765002,-76.4491645,01/01/2022,12/31/2022
107035385,44.5854431,-76.2589982,01/01/2022,12/31/2022
107035386,45.3253972,-75.0962038,01/01/2022,12/31/2022
107035387,45.2200757,-75.1516526,01/01/2022,12/31/2022
107035388,45.5348648,-74.9934797,01/01/2022,12/31/2022
107035389,45.101178,-75.2164409,01/01/2022,12/31/2022
107035390,44.6825481,-76.3999966,01/01/2022,12/31/2022
107035391,44.777166,-76.7577706,01/01/2022,12/31/2022
107035392,44.5458898,-76.2365007,01/01/2022,12/31/2022
107035393,42.8672632,-79.2117776,01/01/2022,12/31/2022
107035394,42.8721979,-79.239484,01/01/2022,12/31/2022
107035395,42.8757281,-79.266807,01/01/2022,12/31/2022
107035396,42.8737656,-78.9918049,01/01/2022,12/31/2022
107035397,42.6355274,-80.3492852,01/01/2022,12/31/2022
107035398,43.9944138,-77.5245839,01/01/2022,12/31/2022
107035399,44.0005118,-77.4776483,01/01/2022,12/31/2022
107035400,44.1581771,-77.3841218,01/01/2022,12/31/2022
107035401,44.2484166,-76.945937,01/01/2022,12/31/2022
107035402,44.1083618,-77.5855828,01/01/2022,12/31/2022
107035403,44.3099176,-79.3612822,01/01/2022,12/31/2022
107035404,51.1740815,-93.6820252,01/01/2022,12/31/2022
107035405,51.0259574,-93.9770139,01/01/2022,12/31/2022
107035407,44.723242,-80.0302088,01/01/2022,12/31/2022
107035408,46.0239844,-81.3990477,01/01/2022,12/31/2022
107035409,46.1305265,-81.3070935,01/01/2022,12/31/2022
107035410,46.0352301,-81.4549388,01/01/2022,12/31/2022
107035411,46.0316961,-81.4618921,01/01/2022,12/31/2022
