Waterbody OGF ID,Zone Number,Waterbody Description,Waterbody Description French,Species,Species French,Season,Season French,Size Limit Only,Size Limit Only French,Limit,Limit French,Bait Restriction,Bait Restriction French,Gear Restriction,Gear Restriction French,Impounding Device Restriction,Impounding Device Restriction French,Time of Day Restriction,Time of Day Restriction French,Special Licence Tag,Special Licence Tag French,General Catch and Possession Restriction,General Catch and Possession Restriction French,Effective Date,Expiry Date
125208837,5,"Seine River System - from Kettle Point of Rainy Lake upstream to Sturgeon Falls Dam (Crilly Dam), situated immediately north of Hwy. 11, including Little Grassy, Grassy, Shoal, Wild Potato and Partridge Crop lakes.","Réseau hydrographique de la rivière Seine - depuis la pointe Kettle du lac à la Pluie, en amont jusqu’au barrage Crilly, situé immédiatement au nord de la route 11, y compris le petit lac Grassy et les lacs Grassy, Shoal, Wild Potato et Partridge Crop.",Walleye,Doré jaune,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be between 35 - 45 cm (13.8 - 17.7 in.) or greater than 70 cm (27.6 in.) and not more than 1 greater than 70 cm (27.6 in.),"Doit mesurer entre 35-45 cm (13,8-17,7 po) ou dépasser 70 cm (27,6 po), un seul dépassant 70 cm (27,6 po)",Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208828,5,Rainy River - from Rainy Lake downstream to the Fort Frances dam.,Rivière à la Pluie - depuis le lac à la Pluie en aval jusqu’au barrage de Fort Frances.,Walleye,Doré jaune,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be between 35 - 45 cm (13.8 - 17.7 in.) or greater than 70 cm (27.6 in.) and not more than 1 greater than 70 cm (27.6 in.),"Doit mesurer entre 35-45 cm (13,8-17,7 po) ou dépasser 70 cm (27,6 po), un seul dépassant 70 cm (27,6 po)",Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208822,5,"Rainy Lake (48°42'N., 93°10'W.)",Lac à la Pluie (48° 42’ N. et 93° 10’ O.),Walleye,Doré jaune,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be between 35 - 45 cm (13.8 - 17.7 in.) or greater than 70 cm (27.6 in.) and not more than 1 greater than 70 cm (27.6 in.),"Doit mesurer entre 35-45 cm (13,8-17,7 po) ou dépasser 70 cm (27,6 po), et un seul dépassant 70 cm (27,6 po)",Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125209357,18,"Moira Lake (44°29'14""N., 77°27'13""W.) - Huntingdon Township","Lac Moira (44° 29' 14""N., 77° 27' 13""O.) - canton de Huntingdon",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 102 cm (40 in.),Doit dépasser 102 cm (40 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125209371,18,"Stoco Lake (44°28'15""N., 77°17'29""W.) - Hungerford Township","Lac Stoco (44° 28' 15""N., 77° 17' 29""O.) - canton de Hungerford",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 102 cm (40 in.),Doit dépasser 102 cm (40 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125209358,18,Moira River - from the first dam above Lake Ontario (in the city of Belleville) upstream to Hwy 7.,Rivière Moira - depuis le premier barrage en amont du lac Ontario (dans la ville de Belleville) en amont jusqu’à la route 7.,Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 102 cm (40 in.),Doit dépasser 102 cm (40 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125209364,18,Rideau River.,Rivière Rideau,Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 112 cm (44 in.),Doit dépasser 112 cm (44 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208805,5,"Manomin Lake (48°52'00""N., 93°43'13""W.) - Fleming Township","Lac Manomin (48° 52' 00""N., 93° 43' 13""O.) - canton de Fleming",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208806,5,"Meggisi Lake (49°17'04""N., 92°34'55""W.)","Lac Meggisi (49° 17' 04""N., 92° 34' 55""O.)",Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
125208828,5,Rainy River - from Rainy Lake downstream to the Fort Frances dam.,Rivière à la Pluie - depuis le lac à la Pluie en aval jusqu’au barrage de Fort Frances.,Muskellunge,Maskinongé,Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,Must be greater than 122 cm (48 in.),Doit dépasser 122 cm (48 po),Refer to zone-wide seasons and limits,Reportez-vous à Saisons et limites de zone,,,,,,,,,,,,,01/01/2022,12/31/2022
