Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125207686,17-5459-51662,Dwyer Lake,lac Dwyer,,46.650794,-80.4013176,01/01/2022,12/31/2022
125207687,17-4692-52303,Eli Lake,lac Eli,,47.22756,-81.40705,01/01/2022,12/31/2022
125207688,17-4890-52712,Gay Lake,lac Gay,,47.59618,-81.14647,01/01/2022,12/31/2022
125207689,17-4890-52706,Hook Lake,lac Hook,,47.5905863,-81.1456962,01/01/2022,12/31/2022
125207690,17-4707-52393,,,Ingrids Lake (Unofficial Name),47.3085453,-81.3874373,01/01/2022,12/31/2022
125207691,17-4697-52376,Jen Lake,lac Jen,,47.29339,-81.4012,01/01/2022,12/31/2022
125207692,17-4691-52318,,,Clems Lake (Unofficial Name),47.2409863,-81.4080904,01/01/2022,12/31/2022
125207693,17-4692-52328,Monday Lake,lac Monday,,47.24978,-81.40705,01/01/2022,12/31/2022
125207694,17-4159-52331,Moonshine Lake,lac Moonshine,,47.24784,-82.11152,01/01/2022,12/31/2022
125207695,17-4958-52242,,,Outpost Lake (Unofficial Name),47.1733119,-81.0552353,01/01/2022,12/31/2022
125207696,17-4886-52710,Pat Lake,lac Pat,,47.5945,-81.15146,01/01/2022,12/31/2022
125207697,17-3392-52731,,,Pat Lake (Unofficial Name),47.5934188,-83.1387022,01/01/2022,12/31/2022
125207698,17-4339-52563,Paul Lake,lac Paul,,47.4583155,-81.8767531,01/01/2022,12/31/2022
125207699,17-4689-52394,Pheasant Lake,lac Pheasant,,47.30895,-81.41148,01/01/2022,12/31/2022
125207700,17-3501-52609,,,Phyl's Lake (Unofficial Name),47.4863225,-82.98939,01/01/2022,12/31/2022
125207701,17-3319-52712,Red Bark Lake,lac Red Bark,,47.57481,-83.23486,01/01/2022,12/31/2022
125207702,17-5368-52742,,,Roadhouse Lake 19 (Unofficial Name),47.6221976,-80.5100359,01/01/2022,12/31/2022
125207703,17-5388-52737,,,Roadhouse Lake 20 (Unofficial Name),47.6175822,-80.4834637,01/01/2022,12/31/2022
125207704,17-4835-52232,Seagull Lake,lac Seagull,,47.16451,-81.21704,01/01/2022,12/31/2022
125207705,17-3510-52677,,,Stripcut Lake (Unofficial Name),47.5476756,-82.9800126,01/01/2022,12/31/2022
125207706,17-4713-52347,,,Suzuki Lake (Unofficial Name),47.2671808,-81.3792072,01/01/2022,12/31/2022
125207707,17-4152-52363,Tower Lake,lac Tower,,47.2768462,-82.121274,01/01/2022,12/31/2022
125207708,17-5063-52568,Tremble Lake,lac Tremble,,47.4693697,-80.9175587,01/01/2022,12/31/2022
125207709,17-4667-52570,Twin Lakes,lacs Twin,,47.4678609,-81.4416141,01/01/2022,12/31/2022
125207710,17-4669-52558,Walroth Lake,lac Walroth,,47.457,-81.43842,01/01/2022,12/31/2022
125207711,17-3192-52832,Wiener Lake,lac Wiener,,47.6786418,-83.4091233,01/01/2022,12/31/2022
