Fish Sanctuary OGF ID,Zone Number,Waterbody Description,Waterbody Description French,Fish Sanctuary,Fish Sanctuary French,Effective Date,Expiry Date
107035513,2,"Esnagami River - from the northern boundary of Esnagami Twp. (50°21'36""N., 86°46'45""W.) downstream (north) to the second set of rapids (50°25'20""N., 86°40'45""W.)",Rivière Esnagami - depuis la limite nord du canton d’Esnagami (50° 21’ 36” N. et 86° 46’ 45” O.) en aval (nord) jusqu’au second groupe de rapides (50° 25’ 20” N. et 86° 40’ 45” O.).,Fish sanctuary - no fishing from Mar. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er mars et le 14 juin,01/01/2022,12/31/2022
107035514,2,Kawashkagama River - from Abamasagi Lake to 100 m (328 ft.) above Albert Falls.,Rivière Kawashkagama - depuis le lac Abamasagi jusqu’à 100 m (328 pi) avant les chutes Albert.,Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035515,2,"Lake St. Joseph - Twiname Bay east of a line beginning at the north shore at 51°09’10”N., 90°27’10”W., southeast to 51°08’54”N., 90°25’52”W., and south to 51°08’30”N., 90°25’35”W.","Lac St-Joseph - baie Twiname à l’est d’une ligne entre le rivage nord (51° 09’ 10” N. et 90° 27’ 10” O.), sud-ouest jusqu’à (51° 08’ 54” N. et 90° 25’ 52” O.) et sud jusqu’à (51° 08’ 30” N. et 90° 25’ 35” O.).",Fish sanctuary - no fishing from Mar. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er mars et le 14 juin,01/01/2022,12/31/2022
107035516,2,Upper Twin Lake (Pete’s Bay) - beginning at the intersection of Shamokan Creek and the Rail Line Road continuing downstream to include all of Pete’s Bay of Upper Twin Lake.,"Lac Upper Twin (baie Pete’s) - à partir du point de jonction entre le ruisseau Shamokan et le chemin Rail Line, en aval pour comprendre toute la baie Pete’s dans le lac Upper Twin.",Fish sanctuary - no fishing from Apr. 1 - June 14,Réserve de poissons - aucune pêche entre le 1er avril et le 14 juin,01/01/2022,12/31/2022
107035517,2,Zeemel Lake - including the Paseminon River upstream to 300 m (984 ft.) above the Musselwhite Mine Road.,Lac Zeemel - y compris la rivière Paseminon en amont jusqu’à 300 m (984 pi) au-delà du chemin de la mine Musselwhite.,Fish sanctuary - closed all year,Réserve de poissons - pêche fermée toute l’année,01/01/2022,12/31/2022
107035518,3,"French Creek - from its outflow at French Lake to the area between Hanlan and Wolverine lakes from Lot 13, Conc. 10 to Lot 16, Conc. 11 (known locally as Hanlan Narrows) and Ryland Creek from its outflow at French Lake to its intersection with the Conc. 7","Ruisseau French - depuis son débit sortant au lac French jusqu’à la zone entre les lacs Hanlan et Wolverine, depuis le lot 13, conc. 10 jusqu’au lot 16, conc. 11 (zone connue localement sous le nom de Hanlan Narrows) et le ruisseau Ryland, depuis son débi",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035519,3,Holland Lake and Holland Creek - Stoddart Twp.,Lac Holland et ruisseau Holland - canton de Stoddart,Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035521,3,"Ste. Therese Creek - from its mouth at Lac Ste. Therese upstream to the point where it crosses the south boundary of Lot 26, Conc. 7, Casgrain Twp. and the unnamed tributary lying between Ste. Therese Creek and Hwy. 583 in Lots 25 and 26, Conc. 8.","Ruisseau Ste-Thérèse - depuis son embouchure au lac Ste-Thérèse, en amont jusqu’à son point d’intersection avec la limite sud du lot 26, conc. 7, canton de Casgrain, et du tributaire sans nom se trouvant entre le ruisseau Ste-Thérèse et la route 583, dans",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
107035522,3,"Stoddart Creek - Stoddart Twp., between Stoddart Lake and the Valentine River.","Ruisseau Stoddart - canton de Stoddart, entre le lac Stoddart et la rivière Valentine.",Fish sanctuary - no fishing from Apr. 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
158117304,3,Valentine River - from Wolverine Lake to Pivabiska Lake,Rivière Valentine - du lac Wolverine au lac Pivabiska,Fish sanctuary - no fishing from April 1 - June 15,Réserve de poissons - aucune pêche entre le 1er avril et le 15 juin,01/01/2022,12/31/2022
