Species,Species French,Season,Season French,Non Angling Method Gear,Non Angling Method Gear French,Zone Number,Zone Note,Zone Note French,Non Angling Method Limit,Non Angling Method Limit French,Effective Date,Expiry Date
Bowfin,Poisson-castor,May 1 - July 31,1 er mai au 31 juillet,Bow and arrow (during daylight hours only),Arc (le jour seulement),10,,,No limit,Aucune limite,01/01/2022,12/31/2022
Bowfin,Poisson-castor,May 1 - July 31,1 er mai au 31 juillet,Bow and arrow (during daylight hours only),Arc (le jour seulement),13,,,No limit,Aucune limite,01/01/2022,12/31/2022
Bowfin,Poisson-castor,May 1 - July 31,1 er mai au 31 juillet,Bow and arrow (during daylight hours only),Arc (le jour seulement),14,,,No limit,Aucune limite,01/01/2022,12/31/2022
Bowfin,Poisson-castor,May 1 - July 31,1 er mai au 31 juillet,Bow and arrow (during daylight hours only),Arc (le jour seulement),19,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",5,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",6,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",9,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",10,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",12,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",13,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",14,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",15,except Algonquin Park,sauf le parc Algonquin,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",16,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,2nd Sat. in May - July 31,Du 2e samedi de mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",17,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",18,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",19,,,No limit,Aucune limite,01/01/2022,12/31/2022
Carp,Carpe,May 1 - July 31,1 er mai au 31 juillet,"Bow and arrow, spear and dip net (during daylight hours only)","Arc, harpon et carrelet (durant le jour seulement)",20,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),1,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),2,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),3,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),4,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),5,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),6,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),7,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),8,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),10,,,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),11,In designated waters only in Zones 11 and 15; contact local district office for details,Dans les eaux désignées seulement; communiquer avec le bureau du MRNF local ou visiter ontario.ca/peche,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Herring (Cisco),Cisco,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),15,In designated waters only in Zones 11 and 15; contact local district office for details,Dans les eaux désignées seulement; communiquer avec le bureau du MRNF local ou visiter ontario.ca/peche,No limit,Aucune limite,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),1,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
Lake Whitefish,Grand corégone,Oct. 1 - Dec. 15,Du 1er oct. au 15 déc.,Dip net (day or night),Carrelet (jour et nuit),2,,,Same as angling limit in Zone,Même que la limite de pêche pour la zone,01/01/2022,12/31/2022
