Zone Number,Species,Species French,Aggregate Trout and Salmon Limit,Season,Season French,Limit,Limit Description French,Limit Type,Limit French,Effective Date,Expiry Date
1,Brook Trout,Omble de fontaine,Yes,Jan. 1 - Sept. 30,1er janv. au 30 sept.,"C - 2, not more than 1 greater than 40 cm (15.7 in.)","C - 2, un seul dépassant 40 cm (15,7 po)",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Brook Trout,Omble de fontaine,Yes,Jan. 1 - Sept. 30,1er janv. au 30 sept.,"S - 5, not more than 1 greater than 40 cm (15.7 in.)","S - 5, un seul dépassant 40 cm (15,7 po)",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
1,Lake Sturgeon,Esturgeon de lac (esturgeon jaune),No,Jan. 1 - Apr. 30 & July 1 - Dec. 31,"1er janv. au 30 avril, et 1er juillet au 31 déc.",C - 0,C - 0,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Lake Sturgeon,Esturgeon de lac (esturgeon jaune),No,Jan. 1 - Apr. 30 & July 1 - Dec. 31,"1er janv. au 30 avril, et 1er juillet au 31 déc.",S - 0,S - 0,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
1,Lake Trout,Touladi,Yes,Open all year,Pêche ouverte toute l’année,C - 1,C - 1,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Lake Trout,Touladi,Yes,Open all year,Pêche ouverte toute l’année,S - 3,S - 3,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
1,Lake Whitefish,Grand corégone,No,Open all year,Pêche ouverte toute l’année,C - 6,C - 6,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Lake Whitefish,Grand corégone,No,Open all year,Pêche ouverte toute l’année,S - 12,S - 12,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
1,Northern Pike,Grand brochet,No,Open all year,Pêche ouverte toute l’année,"C - 2, not more than 1 greater than 61 cm (24 in.), none greater than 86 cm (33.9 in.)","C - 2, un seul dépassant 61 cm (24 po), aucun ne dépassant 86 cm (33,9 po)",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Northern Pike,Grand brochet,No,Open all year,Pêche ouverte toute l’année,"S - 6, not more than 2 greater than 61 cm (24 in.), of which not more than 1 is greater than 86 cm (33.9 in.)","S - 6, pas plus de 2 dépassant 61 cm (24 po), dont un seul peut dépasser 86 cm (33,9 po)",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
1,Walleye and Sauger or any combination,"Doré jaune et doré noir, ou toutes combinaisons",No,Open all year,Pêche ouverte toute l’année,"C - 2, not more than 1 greater than 46 cm (18.1 in.)","C - 2, un seul dépassant 46 cm (18,1 po)",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Walleye and Sauger or any combination,"Doré jaune et doré noir, ou toutes combinaisons",No,Open all year,Pêche ouverte toute l’année,"S - 4, not more than 1 greater than 46 cm (18.1 in.)","S - 4, un seul dépassant 46 cm (18,1 po)",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
1,Yellow Perch,Perchaude,No,Open all year,Pêche ouverte toute l’année,C - 25,C - 25,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
1,Yellow Perch,Perchaude,No,Open all year,Pêche ouverte toute l’année,S - 50,S - 50,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Brook Trout,Omble de fontaine,Yes,Jan. 1 - Labour Day,1er janv. jusqu´à la fête du Travail,"C - 2, not more than 1 greater than 30 cm (11.8 in.)","C - 2, un seul dépassant 30 cm (11,8 po)",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Brook Trout,Omble de fontaine,Yes,Jan. 1 - Labour Day,1er janv. jusqu´à la fête du Travail,"S - 5, not more than 1 greater than 30 cm (11.8 in.)","S - 5, un seul dépassant 30 cm (11,8 po)",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Brown Trout,Truite brune,Yes,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Brown Trout,Truite brune,Yes,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Lake Sturgeon,Esturgeon de lac (esturgeon jaune),No,Jan. 1 - Apr. 30 & July 1 - Dec. 31,"1er janv. au 30 avril, et 1er juil. au 31 déc.",C - 0,C - 0,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Lake Sturgeon,Esturgeon de lac (esturgeon jaune),No,Jan. 1 - Apr. 30 & July 1 - Dec. 31,"1er janv. au 30 avril, et 1er juil. au 31 déc.",S - 0,S - 0,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Lake Trout,Touladi,Yes,Jan. 1 - Sept. 30,1er janv. au 30 sept.,"C - 1, any size","C - 1, toutes tailles",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Lake Trout,Touladi,Yes,Jan. 1 - Sept. 30,1er janv. au 30 sept.,"S - 2, not more than 1 greater than 56 cm (22 in.) from Sept. 1 - Sept. 30; no size limit rest of year","S - 2, un seul pouvant mesurer plusde 56 cm (22 po) du 1er sept. au 30 sept., aucune limite de taille le reste de l’année",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Lake Whitefish,Grand corégone,No,Open all year,Pêche ouverte toute l’année,C - 6,C - 6,Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Lake Whitefish,Grand corégone,No,Open all year,Pêche ouverte toute l’année,S - 12,S - 12,Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Largemouth and Smallmouth Bass or any combination,"Achigan à grande bouche et achigan à petite bouche, ou toutes combinaisons",No,Open all year,Pêche ouverte toute l’année,"C - 1, must be less than 35 cm (13.8 in.) from Jan. 1 - June 30 & Dec. 1 - Dec. 31","C - 1, doit mesurer moins de 35 cm (13,8 po) du 1er janv. au 30 juin et 1er au 31 déc.",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Largemouth and Smallmouth Bass or any combination,"Achigan à grande bouche et achigan à petite bouche, ou toutes combinaisons",No,Open all year,Pêche ouverte toute l’année,"C - 2, no size limit from July 1 - Nov. 30","C - 2, aucune limite de taille du 1er juillet au 30 nov.",Resident and Non-Resident Conservation License Catch and Possession Limit,Limite de prise et de possession pour résidents d'Ontario et personnes résident a l'extérieur avec un permis de pêche écologique,01/01/2022,12/31/2022
2,Largemouth and Smallmouth Bass or any combination,"Achigan à grande bouche et achigan à petite bouche, ou toutes combinaisons",No,Open all year,Pêche ouverte toute l’année,"S - 2, must be less than 35 cm (13.8 in.) from Jan. 1 - June 30 & Dec. 1 - Dec. 31","S - 2, doit mesurer moins de 35 cm (13,8 po) du 1er janv. au 30 juin et 1er au 31 déc.",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
2,Largemouth and Smallmouth Bass or any combination,"Achigan à grande bouche et achigan à petite bouche, ou toutes combinaisons",No,Open all year,Pêche ouverte toute l’année,"S - 4, no size limit from July 1 - Nov. 30","S - 4, aucune limite de taille, du 1er juillet au 30 nov.",Resident and Non-Resident Sportfishing License Catch and Possession Limit,Limite de prise et de possession pour résidents de l'Ontario et personnes résident a l'extérieur d'Ontario avec un permis de pêche sportive,01/01/2022,12/31/2022
